"Geo","Year","VehOwnFlatRateFee.2025","VehOwnAdValoremTax"
1,2019,21.35,0.016
2,2019,21.35,0.016
3,2019,21.35,0.016
4,2019,21.35,0.016
5,2019,21.35,0.016
6,2019,21.35,0.016
7,2019,21.35,0.016
8,2019,21.35,0.016
9,2019,21.35,0.016
10,2019,21.35,0.016
11,2019,21.35,0.016
12,2019,21.35,0.016
13,2019,21.35,0.016
14,2019,21.35,0.016
15,2019,21.35,0.016
16,2019,21.35,0.016
17,2019,46.35,0.016
18,2019,21.35,0.016
19,2019,21.35,0.016
20,2019,21.35,0.016
21,2019,21.35,0.016
22,2019,21.35,0.016
23,2019,21.35,0.016
24,2019,21.35,0.016
25,2019,21.35,0.016
26,2019,21.35,0.016
27,2019,21.35,0.016
28,2019,21.35,0.016
29,2019,21.35,0.016
30,2019,21.35,0.016
31,2019,21.35,0.016
32,2019,21.35,0.016
33,2019,21.35,0.016
34,2019,21.35,0.016
35,2019,21.35,0.016
36,2019,21.35,0.016
37,2019,21.35,0.016
38,2019,21.35,0.016
39,2019,21.35,0.016
40,2019,21.35,0.016
41,2019,21.35,0.016
42,2019,21.35,0.016
43,2019,21.35,0.016
44,2019,21.35,0.016
45,2019,21.35,0.016
46,2019,21.35,0.016
47,2019,21.35,0.016
48,2019,21.35,0.016
49,2019,21.35,0.016
50,2019,21.35,0.016
51,2019,21.35,0.016
52,2019,21.35,0.016
53,2019,21.35,0.016
54,2019,21.35,0.016
55,2019,21.35,0.016
56,2019,21.35,0.016
57,2019,21.35,0.016
58,2019,21.35,0.016
59,2019,21.35,0.016
60,2019,21.35,0.016
61,2019,21.35,0.016
62,2019,21.35,0.016
63,2019,21.35,0.016
64,2019,21.35,0.016
65,2019,21.35,0.016
66,2019,21.35,0.016
67,2019,21.35,0.016
68,2019,21.35,0.016
69,2019,21.35,0.016
70,2019,21.35,0.016
71,2019,21.35,0.016
1,2050,21.35,0.016
2,2050,21.35,0.016
3,2050,21.35,0.016
4,2050,21.35,0.016
5,2050,21.35,0.016
6,2050,21.35,0.016
7,2050,21.35,0.016
8,2050,21.35,0.016
9,2050,21.35,0.016
10,2050,21.35,0.016
11,2050,21.35,0.016
12,2050,21.35,0.016
13,2050,21.35,0.016
14,2050,21.35,0.016
15,2050,21.35,0.016
16,2050,21.35,0.016
17,2050,46.35,0.016
18,2050,21.35,0.016
19,2050,21.35,0.016
20,2050,21.35,0.016
21,2050,21.35,0.016
22,2050,21.35,0.016
23,2050,21.35,0.016
24,2050,21.35,0.016
25,2050,21.35,0.016
26,2050,21.35,0.016
27,2050,21.35,0.016
28,2050,21.35,0.016
29,2050,21.35,0.016
30,2050,21.35,0.016
31,2050,21.35,0.016
32,2050,21.35,0.016
33,2050,21.35,0.016
34,2050,21.35,0.016
35,2050,21.35,0.016
36,2050,21.35,0.016
37,2050,21.35,0.016
38,2050,21.35,0.016
39,2050,21.35,0.016
40,2050,21.35,0.016
41,2050,21.35,0.016
42,2050,21.35,0.016
43,2050,21.35,0.016
44,2050,21.35,0.016
45,2050,21.35,0.016
46,2050,21.35,0.016
47,2050,21.35,0.016
48,2050,21.35,0.016
49,2050,21.35,0.016
50,2050,21.35,0.016
51,2050,21.35,0.016
52,2050,21.35,0.016
53,2050,21.35,0.016
54,2050,21.35,0.016
55,2050,21.35,0.016
56,2050,21.35,0.016
57,2050,21.35,0.016
58,2050,21.35,0.016
59,2050,21.35,0.016
60,2050,21.35,0.016
61,2050,21.35,0.016
62,2050,21.35,0.016
63,2050,21.35,0.016
64,2050,21.35,0.016
65,2050,21.35,0.016
66,2050,21.35,0.016
67,2050,21.35,0.016
68,2050,21.35,0.016
69,2050,21.35,0.016
70,2050,21.35,0.016
71,2050,21.35,0.016
72,2019,21.35,0.016
73,2019,21.35,0.016
74,2019,21.35,0.016
75,2019,21.35,0.016
76,2019,21.35,0.016
77,2019,21.35,0.016
78,2019,21.35,0.016
72,2050,21.35,0.016
73,2050,21.35,0.016
74,2050,21.35,0.016
75,2050,21.35,0.016
76,2050,21.35,0.016
77,2050,21.35,0.016
78,2050,21.35,0.016
80,2019,21.35,0.016
79,2019,21.35,0.016
80,2050,21.35,0.016
79,2050,21.35,0.016
