"Geo","Year","MixUseProp"
1,2019,NA
1,2050,NA
2,2019,NA
2,2050,NA
3,2019,NA
3,2050,NA
4,2019,NA
4,2050,NA
5,2019,NA
5,2050,NA
6,2019,NA
6,2050,NA
7,2019,NA
7,2050,NA
8,2019,NA
8,2050,NA
9,2019,NA
9,2050,NA
10,2019,NA
10,2050,NA
11,2019,NA
11,2050,NA
12,2019,NA
12,2050,NA
13,2019,NA
13,2050,NA
14,2019,NA
14,2050,NA
15,2019,NA
15,2050,NA
16,2019,NA
16,2050,NA
17,2019,NA
17,2050,NA
18,2019,NA
18,2050,NA
19,2019,NA
19,2050,NA
20,2019,NA
20,2050,NA
21,2019,NA
21,2050,NA
22,2019,NA
22,2050,NA
23,2019,NA
23,2050,NA
24,2019,NA
24,2050,NA
25,2019,NA
25,2050,NA
26,2019,NA
26,2050,NA
27,2019,NA
27,2050,NA
28,2019,NA
28,2050,NA
29,2019,NA
29,2050,NA
30,2019,NA
30,2050,NA
31,2019,NA
31,2050,NA
32,2019,NA
32,2050,NA
33,2019,NA
33,2050,NA
34,2019,NA
34,2050,NA
35,2019,NA
35,2050,NA
36,2019,NA
36,2050,NA
37,2019,NA
37,2050,NA
38,2019,NA
38,2050,NA
39,2019,NA
39,2050,NA
40,2019,NA
40,2050,NA
41,2019,NA
41,2050,NA
42,2019,NA
42,2050,NA
43,2019,NA
43,2050,NA
44,2019,NA
44,2050,NA
45,2019,NA
45,2050,NA
46,2019,NA
46,2050,NA
47,2019,NA
47,2050,NA
48,2019,NA
48,2050,NA
49,2019,NA
49,2050,NA
50,2019,NA
50,2050,NA
51,2019,NA
51,2050,NA
52,2019,NA
52,2050,NA
53,2019,NA
53,2050,NA
54,2019,NA
54,2050,NA
55,2019,NA
55,2050,NA
56,2019,NA
56,2050,NA
57,2019,NA
57,2050,NA
58,2019,NA
58,2050,NA
59,2019,NA
59,2050,NA
60,2019,NA
60,2050,NA
61,2019,NA
61,2050,NA
62,2019,NA
62,2050,NA
63,2019,NA
63,2050,NA
64,2019,NA
64,2050,NA
65,2019,NA
65,2050,NA
66,2019,NA
66,2050,NA
67,2019,NA
67,2050,NA
68,2019,NA
68,2050,NA
69,2019,NA
69,2050,NA
70,2019,NA
70,2050,NA
71,2019,NA
71,2050,NA
72,2019,NA
72,2050,NA
73,2019,NA
73,2050,NA
74,2019,NA
74,2050,NA
75,2019,NA
75,2050,NA
76,2019,NA
76,2050,NA
77,2019,NA
77,2050,NA
78,2019,NA
78,2050,NA
79,2019,NA
79,2050,NA
80,2019,NA
80,2050,NA
81,2019,NA
81,2050,NA
82,2019,NA
82,2050,NA
83,2019,NA
83,2050,NA
84,2019,NA
84,2050,NA
85,2019,NA
85,2050,NA
86,2019,NA
86,2050,NA
